Time Period,Measure,Persons,Males,Females,Age
2008,NOM arrivals,"28,680","15,710","12,970",40-44
2008,NOM arrivals,"18,440","10,170","8,280",45-49
2008,NOM arrivals,"12,630","6,490","6,150",50-54
2008,NOM arrivals,"9,690","4,830","4,860",55-59
2008,NOM arrivals,"7,880","3,970","3,900",60-64
2008,NOM arrivals,"11,920","5,800","6,120",65 and over
2008,NOM departures,"220,280","117,080","103,200", ages
2008,NOM departures,"9,170","4,690","4,480",15-19
2008,NOM departures,"37,710","19,140","18,570",20-24
2008,NOM departures,"46,940","24,460","22,480",25-29
2008,NOM departures,"25,430","13,820","11,610",30-34
2008,NOM departures,"17,890","10,160","7,730",35-39
2008,NOM departures,"12,860","7,530","5,330",40-44
2008,NOM departures,"10,230","5,940","4,290",45-49
2008,NOM departures,"8,610","4,730","3,880",50-54
2008,NOM departures,"7,280","3,910","3,370",55-59
2008,NOM departures,"6,060","3,160","2,900",60-64
2008,NOM departures,"10,390","5,310","5,080",65 and over
2009,NOM arrivals,"478,790","247,600","231,190", ages
2009,NOM arrivals,"46,740","24,720","22,030",15-19
2009,NOM arrivals,"104,030","54,750","49,280",20-24
2009,NOM arrivals,"93,870","47,040","46,830",25-29
2009,NOM arrivals,"53,200","27,680","25,510",30-34
2009,NOM arrivals,"35,170","18,230","16,940",35-39
2009,NOM arrivals,"24,080","12,810","11,270",40-44
2009,NOM arrivals,"15,980","8,590","7,390",45-49
2009,NOM arrivals,"11,270","5,780","5,490",50-54
2009,NOM arrivals,"8,990","4,510","4,480",55-59
2009,NOM arrivals,"7,170","3,620","3,550",60-64
2009,NOM arrivals,"10,870","5,190","5,680",65 and over
2009,NOM departures,"231,890","124,960","106,930", ages
2009,NOM departures,"9,440","5,030","4,410",15-19
2009,NOM departures,"42,010","21,960","20,060",20-24
2009,NOM departures,"51,500","27,600","23,890",25-29
2009,NOM departures,"26,580","14,670","11,910",30-34
2009,NOM departures,"17,740","10,060","7,680",35-39
2009,NOM departures,"13,140","7,750","5,380",40-44
2009,NOM departures,"10,330","6,070","4,260",45-49
2009,NOM departures,"8,530","4,810","3,720",50-54
2009,NOM departures,"7,310","3,840","3,480",55-59
2009,NOM departures,"6,410","3,260","3,150",60-64
2009,NOM departures,"10,980","5,610","5,370",65 and over
2010,NOM arrivals,"425,120","215,780","209,340", ages
2010,NOM arrivals,"36,370","18,490","17,890",15-19
2010,NOM arrivals,"80,320","39,550","40,770",20-24
2010,NOM arrivals,"81,210","39,570","41,640",25-29
2010,NOM arrivals,"50,340","25,860","24,470",30-34
2010,NOM arrivals,"33,400","17,700","15,700",35-39
2010,NOM arrivals,"22,850","12,310","10,540",40-44
2010,NOM arrivals,"16,390","8,970","7,420",45-49
2010,NOM arrivals,"11,800","6,180","5,620",50-54
2010,NOM arrivals,"9,620","4,800","4,820",55-59
2010,NOM arrivals,"7,690","3,910","3,790",60-64
2010,NOM arrivals,"11,170","5,450","5,720",65 and over
2010,NOM departures,"253,080","135,930","117,150", ages
2010,NOM departures,"9,630","4,940","4,690",15-19
2010,NOM departures,"48,470","25,310","23,160",20-24
2010,NOM departures,"60,410","32,440","27,970",25-29
2010,NOM departures,"30,160","16,420","13,740",30-34
2010,NOM departures,"18,440","10,410","8,030",35-39
2010,NOM departures,"13,570","7,870","5,700",40-44
2010,NOM departures,"10,420","6,010","4,410",45-49
2010,NOM departures,"8,640","4,810","3,840",50-54
2010,NOM departures,"7,000","3,790","3,210",55-59
2010,NOM departures,"5,860","3,110","2,750",60-64
2010,NOM departures,"9,590","5,010","4,580",65 and over
2011,NOM arrivals,"449,020","229,120","219,900", ages
2011,NOM arrivals,"35,430","18,400","17,030",15-19
2011,NOM arrivals,"84,750","42,220","42,530",20-24
2011,NOM arrivals,"88,300","43,130","45,170",25-29
2011,NOM arrivals,"53,820","27,800","26,030",30-34
2011,NOM arrivals,"34,730","18,410","16,320",35-39
2011,NOM arrivals,"25,330","13,510","11,820",40-44
2011,NOM arrivals,"17,290","9,490","7,810",45-49
2011,NOM arrivals,"12,340","6,540","5,810",50-54
2011,NOM arrivals,"9,650","4,760","4,890",55-59
2011,NOM arrivals,"7,270","3,660","3,600",60-64
2011,NOM arrivals,"9,680","4,780","4,900",65 and over
2011,NOM departures,"242,780","130,050","112,730", ages
2011,NOM departures,"8,830","4,640","4,180",15-19
2011,NOM departures,"47,890","24,560","23,330",20-24
